Lemma,Stem,Paradigm,Class,Translation,Source
ginwaako,ginwaakow2,PVLex,PVLex,"long and stick-like",https://ojibwe.lib.umn.edu/main-entry/ginwaako-pv-lex
bigishki,bigishkiw2,PVLex,PVLex,"in small pieces",https://ojibwe.lib.umn.edu/main-entry/bigishki-pv-lex
biini,biiniw2,PVLex,PVLex,"clean, pure",https://ojibwe.lib.umn.edu/main-entry/biini-pv-lex
wenda,wendaw2,PVLex,PVLex,"really; completely; just so",https://ojibwe.lib.umn.edu/main-entry/wenda-pv-lex
bizaani,bizaaniw2,PVLex,PVLex,"quiet, quietly, still, at peace",https://ojibwe.lib.umn.edu/main-entry/bizaani-pv-lex
gabe,gabe,PVLex,PVLex,"whole extent of; throughout",https://ojibwe.lib.umn.edu/main-entry/gabe-pv-lex
noosooki,noosookiw2,PVLex,PVLex,"soft and fluffy",https://ojibwe.lib.umn.edu/main-entry/noosooki-pv-lex
ditibi,ditibiw2,PVLex,PVLex,"go around, roll",https://ojibwe.lib.umn.edu/main-entry/ditibi-pv-lex
dibiki,dibikiw2,PVLex,PVLex,"dark, in the dark",https://ojibwe.lib.umn.edu/main-entry/dibiki-pv-lex
nishwaaso,nishwaasow2,PVQnt,PVQnt,"eight",https://ojibwe.lib.umn.edu/main-entry/nishwaaso-pv-qnt
zhaawani,zhaawaniw2,PVLex,PVLex,"south",https://ojibwe.lib.umn.edu/main-entry/zhaawani-pv-lex
biisi,biisiw2,PVLex,PVLex,"fine, in small particles",https://ojibwe.lib.umn.edu/main-entry/biisi-pv-lex
ashi-ishwaaso,ashi-ishwaasow2,PVQnt,PVQnt,"and eight",https://ojibwe.lib.umn.edu/main-entry/ashi-ishwaaso-pv-qnt
bakobii,bakobii,PVLex,PVLex,"",https://ojibwe.lib.umn.edu/main-entry/bakobii-pv-lex
giiwitaa,giiwitaa,PVLex,PVLex,"around something",https://ojibwe.lib.umn.edu/main-entry/giiwitaa-pv-lex
gakaki,gakakiw2,PVLex,PVLex,"square",https://ojibwe.lib.umn.edu/main-entry/gakaki-pv-lex
ayaangwaami,ayaangwaamiw2,PVLex,PVLex,"as a warning; cautiously, protectively",https://ojibwe.lib.umn.edu/main-entry/ayaangwaami-pv-lex
maajii,maajii,PVLex,PVLex,"start; begin; start off",https://ojibwe.lib.umn.edu/main-entry/maajii-pv-lex
wagiji,wagijiw2,PVLex,PVLex,"on top, on top of",https://ojibwe.lib.umn.edu/main-entry/wagiji-pv-lex
ashi-niiwo,ashi-niiwow2,PVQnt,PVQnt,"and four",https://ojibwe.lib.umn.edu/main-entry/ashi-niiwo-pv-qnt
nabagi,nabagiw2,PVLex,PVLex,"flat",https://ojibwe.lib.umn.edu/main-entry/nabagi-pv-lex
goshko,goshkow2,PVLex,PVLex,"surprise",https://ojibwe.lib.umn.edu/main-entry/goshko-pv-lex
eyiidawi,eyiidawiw2,PVLex,PVLex,"on both sides of something",https://ojibwe.lib.umn.edu/main-entry/eyiidawi-pv-lex
