Lemma,Stem,Paradigm,Class,Translation,Source
dibaabam,dibaabam,VTA,VTA_C,"inspect, check up on h/ or it (animate), look h/ or it (animate) over",https://ojibwe.lib.umn.edu/main-entry/dibaabam-vta
gaanzikige,gaanzikige,VAI,VAI_VV,"s/he pushes, nudges things (with foot or body)",https://ojibwe.lib.umn.edu/main-entry/gaanzikige-vai
giziibiiga',giziibiiga'w1,VTA,VTA_Cw,"wash h/ (using something)",https://ojibwe.lib.umn.edu/main-entry/giziibiiga-vta
biinabi,biinabi,VAI,VAI_V,"s/he lives in a clean place",https://ojibwe.lib.umn.edu/main-entry/biinabi-vai
wiiji'igoowizi,wiiji'igoowizi,VAI,VAI_V,"s/he is helped, is helped by a high power",https://ojibwe.lib.umn.edu/main-entry/wiiji-igoowizi-vai
mikaadizo,mikaadizo,VAI,VAI_rfx,"s/he finds h/ self",https://ojibwe.lib.umn.edu/main-entry/mikaadizo-vai
nitaawe,nitaawe,VAI,VAI_VV,"s/he is skilled in speaking or singing",https://ojibwe.lib.umn.edu/main-entry/nitaawe-vai
biskin,biskin,VTA,VTA_C,"bend h/ over, bow h/",https://ojibwe.lib.umn.edu/main-entry/biskin-vta
michaakozi,michaakozi,VAI,VAI_V,"s/he is big (as something stick- or wood-like)",https://ojibwe.lib.umn.edu/main-entry/michaakozi-vai
onaabikizhan,onaabikizh,VTI,VTI_am,"cut it (mineral) to shape, cut it out of metal",https://ojibwe.lib.umn.edu/main-entry/onaabikizhan-vti
makadewaanzo,makadewaanzo,VAI,VAI_V,"s/he is colored black",https://ojibwe.lib.umn.edu/main-entry/makadewaanzo-vai
dakwaakominagad,dakwaakominagad,VII,VII_d,"it is short-grained",https://ojibwe.lib.umn.edu/main-entry/dakwaakominagad-vii
zhagashka',zhagashka'w1,VTA,VTA_Cw,"spread h/ on (using something)",https://ojibwe.lib.umn.edu/main-entry/zhagashka-vta
inigaataagozi,inigaataagozi,VAI,VAI_V,"s/he sounds pitiful",https://ojibwe.lib.umn.edu/main-entry/inigaataagozi-vai
gaashizigwaate,gaashizigwaate,VII,VII_VV,"there is sharp ice from the sun shining on it",https://ojibwe.lib.umn.edu/main-entry/gaashizigwaate-vii
zhegonige,zhegonige,VAI,VAI_VV,"s/he sticks things in a tight place, inserts things",https://ojibwe.lib.umn.edu/main-entry/zhegonige-vai
awasewa'o,awasewa'o,VAI,VAI_V,"s/he paddles out of view around something",https://ojibwe.lib.umn.edu/main-entry/awasewa-o-vai
bagwaasin,bagwaasin,VII,VII_n,"it is blown open (with a hole in it)",https://ojibwe.lib.umn.edu/main-entry/bagwaasin-vii
gidagizi,gidagizi,VAI,VAI_V,"s/he is spotted,  is multi-colored",https://ojibwe.lib.umn.edu/main-entry/gidagizi-vai
obigamaa,obigamaa,VII,VII_VV,"there is a channel between lakes; there is a narrows",https://ojibwe.lib.umn.edu/main-entry/obigamaa-vii
minogi,minogi,VAI,VAI_V,"s/he, it (animate) grows well",https://ojibwe.lib.umn.edu/main-entry/minogi-vai
