Lemma,Stem,Paradigm,Class,Translation,Source
baashki,baashkiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/baashki-pv-lex
enendagi,enendagiw2,PNLex,PNLex,NONE,UnpublishedOPD
animiko,animikow2,PNLex,PNLex,NONE,UnpublishedOPD
bapagone,bapagone,PNLex,PNLex,NONE,UnpublishedOPD
gigi,gigiw2,PNLex,PNLex,NONE,UnpublishedOPD
nisibi,nisibiw2,PNLex,PNLex,NONE,UnpublishedOPD
ditibi,ditibiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ditibi-pv-lex
ziiwiski,ziiwiskiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/ziiwiksi-pv-lex
iniwe,iniwe,PNLex,PNLex,NONE,UnpublishedOPD
bakobii,bakobii,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/bakobii-pv-lex
nando,nandow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/nando-pv-dir
nando,andow2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/nando-pv-dir
miziwe,miziwe,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/miziwe-pv-lex
biimi,biimiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/biimi-pv-lex
anda,andaw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/anda-pv-lex
noogi,noogiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/noogi-pv-lex
biitawi,biitawiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/biitawi-pv-lex
gawi,gawiw2,PNLex,PNLex,NONE,https://ojibwe.lib.umn.edu/main-entry/gawi-pv-lex
